Category,Type,Issue Message,Severity,Affected Pages Count,URLs
Technical,Canonical,Canonical points to different URL: https://www.sssdynamics.com/solutions-center/,MEDIUM,31,https://www.sssdynamics.com/solutions-center/?fwp_content_type=solutions | https://www.sssdynamics.com/solutions-center/?fwp_content_type=test_results | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_bulk_material=4748 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4751 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4794 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4800 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4744 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4784 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4795 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_bulk_material=4721 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4801 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4722 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4738 | https://www.sssdynamics.com/solutions-center/conveying-incinerator-ash | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-industrial&fwp_bulk_material=4788 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-industrial&fwp_bulk_material=4734 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-industrial&fwp_bulk_material=4731 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-industrial&fwp_bulk_material=4742 | https://www.sssdynamics.com/solutions-center/scalping-barley | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4795 | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4746 | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4742 | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4780 | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4799 | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4741 | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4810 | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4786 | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4768 | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4784 | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=5678
On-Page,Internal Links,2 potentially broken internal link(s),MEDIUM,27,https://www.sssdynamics.com/recommended-drive-rebuilds | https://www.sssdynamics.com/test-results/separation-of-zinc-and-vermiculite | https://www.sssdynamics.com/oem-parts-and-service/drive-rebuild | https://www.sssdynamics.com/test-results/separate-aluminum-and-copper | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_bulk_material=4748 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4751 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4744 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4784 | https://www.sssdynamics.com/test-results/test-to-validate-screen-size | https://www.sssdynamics.com/test-results/screening-performance-of-texas-shaker | https://www.sssdynamics.com/test-results/remove-mesh-fines-from-hickory-wood-chips | https://www.sssdynamics.com/solutions/screening-potash | https://www.sssdynamics.com/test-results/evaluation-of-scrapped-copper-wire-cable | https://www.sssdynamics.com/test-results/screening-coke-from-gravel | https://www.sssdynamics.com/test-results/removing-stones-bones-from-meat-meal | https://www.sssdynamics.com/test-results/separating-soybeans-weed-seed | https://www.sssdynamics.com/test-results/mesh-ground-limestone | https://www.sssdynamics.com/test-results/removing-stones-from-pea-and-pinto-beans | https://www.sssdynamics.com/solutions/separating-tree-seeds | https://www.sssdynamics.com/solutions-center/cleaning-corn | https://www.sssdynamics.com/test-results/differences-of-sutton-stoner-air-and-slope-settings | https://www.sssdynamics.com/test-results/separation-evaluation-of-copper-aluminum-concentrate | https://www.sssdynamics.com/test-results/separating-soybeans-from-weed-seed | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4795 | https://www.sssdynamics.com/solutions-center/scalping-corn | https://www.sssdynamics.com/test-results/removing-sand-from-tea-leaves | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4810
On-Page,Internal Links,"Excessive internal links (202, recommended: <100)",MEDIUM,22,https://www.sssdynamics.com/test-results/separation-of-zinc-and-vermiculite | https://www.sssdynamics.com/resources/forms | https://www.sssdynamics.com/solutions/triple-s-test-results-separating-rubber-from-sand | https://www.sssdynamics.com/solutions-center/conveying-and-accumulating-snack-crackers | https://www.sssdynamics.com/solutions/conveying-washed-dewatered-beans | https://www.sssdynamics.com/test-results/basic-copper-chloride | https://www.sssdynamics.com/test-results/test-to-validate-screen-size | https://www.sssdynamics.com/test-results/screening-performance-of-texas-shaker | https://www.sssdynamics.com/test-results/remove-mesh-fines-from-hickory-wood-chips | https://www.sssdynamics.com/solutions/screening-potash | https://www.sssdynamics.com/resources/case-studies/slipstick-conveyor-enables-system-upgrade-without-downtime-on-the-packaging-line | https://www.sssdynamics.com/test-results/mesh-ground-limestone | https://www.sssdynamics.com/test-results/removing-stones-from-pea-and-pinto-beans | https://www.sssdynamics.com/solutions/separating-tree-seeds | https://www.sssdynamics.com/test-results/test-travel-rate-of-rock-wool | https://www.sssdynamics.com/resources/?fwp_product_type=vibratory-conveyors | https://www.sssdynamics.com/solutions-center/cleaning-corn | https://www.sssdynamics.com/news/page/3 | https://www.sssdynamics.com/test-results/separation-evaluation-of-copper-aluminum-concentrate | https://www.sssdynamics.com/test-results/separating-soybeans-from-weed-seed | https://www.sssdynamics.com/solutions-center/scalping-corn | https://www.sssdynamics.com/test-results/conveying-chocolate-chips-and-chocolate-candy-pieces
On-Page,Internal Links,3 potentially broken internal link(s),MEDIUM,16,https://www.sssdynamics.com/solutions-center/conveying-and-accumulating-snack-crackers | https://www.sssdynamics.com/solutions/conveying-washed-dewatered-beans | https://www.sssdynamics.com/test-results/basic-copper-chloride | https://www.sssdynamics.com/solutions/conveying-hot-ash-from-ash-dischargers | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4801 | https://www.sssdynamics.com/solutions/conveying-bottom-ash | https://www.sssdynamics.com/solutions/conveying-phenolic-flakes | https://www.sssdynamics.com/test-results/conveying-potassium-chloride | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-industrial&fwp_bulk_material=4734 | https://www.sssdynamics.com/solutions/conveying-cooked-meats | https://www.sssdynamics.com/test-results/whole-blanched-almonds | https://www.sssdynamics.com/test-results/test-travel-rate-of-rock-wool | https://www.sssdynamics.com/news/page/3 | https://www.sssdynamics.com/test-results/conveying-chocolate-chips-and-chocolate-candy-pieces | https://www.sssdynamics.com/solutions/conveying-dusty-ceramic-parts | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4784
On-Page,Image Alt,1 image(s) missing alt text,MEDIUM,12,https://www.sssdynamics.com/solutions/reworld-hillsborough-190ft-long | https://www.sssdynamics.com/equipment/vibratory-conveyors/slipstick-sanitary | https://www.sssdynamics.com/equipment/vibratory-conveyors/slipstick-industrial | https://www.sssdynamics.com/solutions/high-capacity-potash-screening-success-in-the-middle-east | https://www.sssdynamics.com/equipment/density-separation/sutton-stoners | https://www.sssdynamics.com/solutions/accumulating-fragile-baked-crackers-prior-to-packaging | https://www.sssdynamics.com/solutions/old-dutch-foods | https://www.sssdynamics.com/resources/?fwp_product_type=slipstick-sanitary | https://www.sssdynamics.com/solutions/wellness-pet-company | https://www.sssdynamics.com/equipment/vibratory-conveyors/slipstick-sanitary-conveyor | https://www.sssdynamics.com/resources/?fwp_product_type=slipstick-industrial | https://www.sssdynamics.com/resources/?fwp_equipment_category=density-separation
Technical,Canonical,Canonical points to different URL: https://www.sssdynamics.com/resources/,MEDIUM,12,https://www.sssdynamics.com/resources/?fwp_product_type=bottom-ash | https://www.sssdynamics.com/resources/?fwp_product_type=slipstick-sanitary | https://www.sssdynamics.com/resources/?fwp_equipment_category=screening | https://www.sssdynamics.com/resources/?fwp_equipment_category=mechanical-conveying | https://www.sssdynamics.com/resources/?fwp_product_type=slipstick-industrial | https://www.sssdynamics.com/resources/?fwp_product_type=high-speed-screens | https://www.sssdynamics.com/resources/?fwp_equipment_category=density-separation | https://www.sssdynamics.com/resources/?fwp_product_type=texas-shaker-screeners | https://www.sssdynamics.com/resources/?fwp_product_type=gravity-separators | https://www.sssdynamics.com/resources/?fwp_product_type=vibratory-conveyors | https://www.sssdynamics.com/resources/?fwp_product_type=texas-shaker-screener | https://www.sssdynamics.com/resources/?fwp_product_type=sutton-stoners
On-Page,Title,"Title too long (72 chars, recommended: 30-70)",MEDIUM,8,https://www.sssdynamics.com/contact | https://www.sssdynamics.com/contact-us | https://www.sssdynamics.com/contact-us/?interest=slipstick+industrial | https://www.sssdynamics.com/contact-us/?interest=high+speed+screens | https://www.sssdynamics.com/contact-us/?interest=vibratory+conveyors | https://www.sssdynamics.com/contact-us/?interest=texas+shaker+screeners | https://www.sssdynamics.com/contact-us/?interest=sutton+stoners | https://www.sssdynamics.com/contact-us/?interest=sutton+gravity+separators
Technical,Canonical,Canonical points to different URL: https://www.sssdynamics.com/contact-us/,MEDIUM,7,https://www.sssdynamics.com/contact | https://www.sssdynamics.com/contact-us/?interest=slipstick+industrial | https://www.sssdynamics.com/contact-us/?interest=high+speed+screens | https://www.sssdynamics.com/contact-us/?interest=vibratory+conveyors | https://www.sssdynamics.com/contact-us/?interest=texas+shaker+screeners | https://www.sssdynamics.com/contact-us/?interest=sutton+stoners | https://www.sssdynamics.com/contact-us/?interest=sutton+gravity+separators
On-Page,Internal Links,Link without anchor text: https://www.sssdynamics.com/equipment/vibratory-co,MEDIUM,7,https://www.sssdynamics.com/equipment/vibratory-conveyors/slipstick-sanitary | https://www.sssdynamics.com/equipment/vibratory-conveyors | https://www.sssdynamics.com/equipment/vibratory-conveyors/slipstick-industrial | https://www.sssdynamics.com/equipment/vibratory-conveyors/gates-and-covers | https://www.sssdynamics.com/equipment/vibratory-conveyors/vibratory-feeders | https://www.sssdynamics.com/equipment/vibratory-conveyors/other-vibratory-conveyors | https://www.sssdynamics.com/equipment/vibratory-conveyors/slipstick-sanitary-conveyor
On-Page,Image Alt,4 image(s) missing alt text,MEDIUM,5,https://www.sssdynamics.com/equipment/vibratory-conveyors/other-vibratory-conveyors | https://www.sssdynamics.com/solutions/triple-s-test-results-separating-rubber-from-sand | https://www.sssdynamics.com/solutions/mississippi-lime-company | https://www.sssdynamics.com/solutions/conveying-phenolic-flakes | https://www.sssdynamics.com/solutions/conveying-cooked-meats
On-Page,Internal Links,"Excessive internal links (207, recommended: <100)",MEDIUM,4,https://www.sssdynamics.com/recommended-drive-rebuilds | https://www.sssdynamics.com/industries/food-grade-conveyors | https://www.sssdynamics.com/industries/minerals | https://www.sssdynamics.com/industries/food-wine
On-Page,Title,"Title too long (74 chars, recommended: 30-70)",MEDIUM,3,https://www.sssdynamics.com/oem-parts-and-service/field-service | https://www.sssdynamics.com/industries | https://www.sssdynamics.com/resources/case-studies/maximize-line-yields-reduce-product-degradation
On-Page,Image Alt,3 image(s) missing alt text,MEDIUM,3,https://www.sssdynamics.com/resources | https://www.sssdynamics.com/solutions/all-new-production-line-for-recycling-communication-wire | https://www.sssdynamics.com/solutions/conveying-hot-ash-from-ash-dischargers
On-Page,Internal Links,6 potentially broken internal link(s),MEDIUM,3,https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food | https://www.sssdynamics.com/resources/?fwp_product_type=slipstick-industrial | https://www.sssdynamics.com/resources/?fwp_product_type=gravity-separators
On-Page,Internal Links,5 potentially broken internal link(s),MEDIUM,3,https://www.sssdynamics.com/resources/?fwp_product_type=slipstick-sanitary | https://www.sssdynamics.com/resources/?fwp_equipment_category=screening | https://www.sssdynamics.com/resources/?fwp_product_type=sutton-stoners
On-Page,Title,"Title too long (89 chars, recommended: 30-70)",MEDIUM,3,https://www.sssdynamics.com/test-results/screening-performance-of-texas-shaker | https://www.sssdynamics.com/test-results/conveying-potassium-chloride | https://www.sssdynamics.com/test-results/test-travel-rate-of-rock-wool
